,year,state,dem,rep,candidate_dem,candidate_rep,votes_dem,votes_rep,totalvotes,dem_percent,percent_dem,percent_rep
0,1976,ALABAMA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",659170,504070,1182850,55.727268884473936,55.727268884473936,42.614870862746756
1,1976,ALASKA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",44058,71555,123574,35.65313091750692,35.65313091750692,57.90457539611893
2,1976,ARIZONA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",295602,418642,742719,39.79997818825154,39.79997818825154,56.36613577948053
3,1976,ARKANSAS,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",498604,267903,767535,64.96172812966185,64.96172812966185,34.904336610056866
4,1976,CALIFORNIA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",3742284,3882244,7803770,47.954821836112544,47.954821836112544,49.748313955946934
5,1976,COLORADO,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",460801,584278,1081440,42.60994599792869,42.60994599792869,54.02777777777777
6,1976,CONNECTICUT,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",647895,719261,1386355,46.733700964038796,46.733700964038796,51.881444507359234
7,1976,DELAWARE,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",122461,109780,235642,51.969088702353574,51.969088702353574,46.587620203529085
8,1976,DISTRICT OF COLUMBIA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",137818,27873,168830,81.63122667772316,81.63122667772316,16.509506604276492
9,1976,FLORIDA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",1636000,1469531,3150631,51.92610623078361,51.92610623078361,46.64243448375897
10,1976,GEORGIA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",979409,483743,1463152,66.93829485931741,66.93829485931741,33.06170514068258
11,1976,HAWAII,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",147375,140003,291301,50.59199934088795,50.59199934088795,48.061283689379714
12,1976,IDAHO,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",126549,204151,340932,37.11854563373341,37.11854563373341,59.880269379231045
13,1976,ILLINOIS,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",2271295,2364269,4721282,48.107590268914244,48.107590268914244,50.07684353529401
14,1976,INDIANA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",1014714,1183958,2220362,45.70038579294727,45.70038579294727,53.322746471070936
15,1976,IOWA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",619931,632864,1279303,48.458496540694426,48.458496540694426,49.469437654722924
16,1976,KANSAS,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",430421,502752,957845,44.936393675385894,44.936393675385894,52.487824230433944
17,1976,KENTUCKY,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",615717,531852,1167142,52.75424926872652,52.75424926872652,45.568748275702525
18,1976,LOUISIANA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",661365,587446,1277383,51.77499622274604,51.77499622274604,45.9882431502533
19,1976,MAINE,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",232279,236320,482968,48.0940766261947,48.0940766261947,48.9307780225605
20,1976,MARYLAND,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",759612,672661,1432273,53.035419923436386,53.035419923436386,46.964580076563614
21,1976,MASSACHUSETTS,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",1429475,1030276,2547558,56.111578225108126,56.111578225108126,40.44170927609891
22,1976,MICHIGAN,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",1696714,1893742,3651590,46.46507411839774,46.46507411839774,51.860751070081804
23,1976,MINNESOTA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",1070440,819395,1949931,54.89630145887213,54.89630145887213,42.02174333348206
24,1976,MISSISSIPPI,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",381329,366846,768390,49.62701232447065,49.62701232447065,47.74216218326631
25,1976,MISSOURI,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",998387,927443,1953600,51.10498566748567,51.10498566748567,47.47353603603604
26,1976,MONTANA,DEMOCRAT,REPUBLICAN,"CARTER, JIMMY","FORD, GERALD",149259,173703,328734,45.40418697183741,45.40418697183741,52.839986128602455
